ix,Source,Target,count
833,Lukas Coch,Gary Ramage,4
834,Lukas Coch,Jane Hume,4
835,Lukas Coch,Jenny Wilkinson,4
836,Lukas Coch,Jim Chalmer,8
837,Lukas Coch,Karen Barlow,12
838,Lukas Coch,Keegan Carroll,12
839,Lukas Coch,Phil Lowe,12
840,Lukas Coch,Philip Lowe,8
841,Lukas Coch,Sarah Basford Canales,12
842,Lukas Coch,Steven Kennedy,4
843,Luke Hemer,Anthony Albanese,1
844,Luke Hemer,Don Farrell,1
845,Luke Hemer,Jim Chalmers,1
846,Luke Hemer,Tony Mahar,1
847,Manasseh Sogavare,Anthony Albanese,9
848,Mark Humphrey-Jenner,Steven Hamilton,10
849,Mark Kennedy,Anthony Albanese,3
850,Mark Kennedy,Celia Mendoza,2
851,Mark Kennedy,Chris Hipkins,3
852,Mark Kennedy,Fumio Kishida,3
853,Mark Kennedy,Jorge Agobian,2
854,Mark Kennedy,Wang Wenbin,3
855,Mark Kennedy,Yoon Suk Yeol,3
856,Mark Wood,Ben Stokes,1
857,Mark Wood,Ben Wallace,1
858,Mark Wood,Cameron Bancroft,1
859,Mark Wood,David Warner,1
860,Mark Wood,Huw Edwards,1
861,Mark Wood,Joe Biden,1
862,Mark Wood,Jonny Bairstow,1
863,Mark Wood,Paulius Peleckis Getty,1
864,Mark Wood,Shah Rukh Khan,1
865,Mark Wood,Steve Smith,1
866,Martin Ollman,Andrew Forrest,1
867,Martin Ollman,Angus Taylor,4
868,Martin Ollman,Bob Katter,1
869,Martin Ollman,Catherine Holmes,1
870,Martin Ollman,Damian Shaw,1
871,Martin Ollman,David Crosling,4
872,Martin Ollman,Jenny Wilkinson,4
873,Martin Ollman,Karl Stefanovic,4
874,Martin Ollman,Martin Ollman Deputy,4
875,Martin Ollman,Nick Mckim,4
876,Martin Ollman,Nicki Connolly,4
877,Martin Ollman,Nicola Forrest,1
878,Martin Ollman,Peter Dutton,5
879,Martin Ollman,Phil Lowe,4
880,Martin Ollman,Richard Marles,4
881,Martin Ollman,Steven Kennedy,4
882,Martin Ollman,Tim Loh,1
883,Martin Ollman,Virginia Bell,1
884,Mary Doyle,Alex Hawke,2
885,Mary Doyle,Andrew Hirst,2
886,Mary Doyle,Anthony Albanese,2
887,Mary Doyle,Jason Falinski,2
888,Mary Doyle,Jeremy Rockliff,2
889,Mary Doyle,John Olsen,2
890,Mary Doyle,John Pesutto,2
891,Mary Doyle,Kevin Bonham,2
892,Mary Doyle,Scott Morrison,2
893,Michael Leifer,Ali Alatas,1
894,Michael Leifer,Evelyn Goh,1
895,Michael Leifer,Hasjim Djalal,1
896,Michael Leifer,Khong Yuen Foong,1
897,Michael Leifer,Noordin Sopiee,1
898,Michael Leifer,Paul Evans,1
899,Michael Leifer,Ralph Cossa,1
900,Michael Leifer,Rizal Sukma,1
901,Michele Bullock,Adam Boyton,1
902,Michele Bullock,Andrew Bragg,1
903,Michele Bullock,Andrew Forrest,3
904,Michele Bullock,Andrew Leigh,82
905,Michele Bullock,Angus Taylor,10
906,Michele Bullock,Anthony Albanese,116
907,Michele Bullock,Barack Obama,1
908,Michele Bullock,Bernie Fraser,2
909,Michele Bullock,Bob Johnston,1
910,Michele Bullock,Cassandra Goldie,1
911,Michele Bullock,Chris Bowen,1
912,Michele Bullock,Dame Quentin Bryce,1
913,Michele Bullock,Damian Shaw,1
914,Michele Bullock,Danielle Wood,1
915,Michele Bullock,David Crosling,4
916,Michele Bullock,David Gruen,4
917,Michele Bullock,Gail Kelly,1
918,Michele Bullock,Gary Ramage,4
919,Michele Bullock,Glenn Stevens,2
920,Michele Bullock,Harry Knight,1
921,Michele Bullock,Ian Macfarlane,1
922,Michele Bullock,Innes Willox,1
923,Michele Bullock,Isaac Gross,81
924,Michele Bullock,Jane Hume,4
925,Michele Bullock,Janet Yellen,1
926,Michele Bullock,Jenny Wilkinson,23
927,Michele Bullock,Jim Chalmer,12
928,Michele Bullock,Jim Chalmers,100
929,Michele Bullock,Jock Phillips,1
930,Michele Bullock,Jonathan Kearns,1
931,Michele Bullock,Josh Frydenberg,82
932,Michele Bullock,Julia Gillard,1
933,Michele Bullock,Justice Susan Kiefel,1
934,Michele Bullock,Karen Barlow,12
935,Michele Bullock,Karl Stefanovic,4
936,Michele Bullock,Keegan Carroll,93
937,Michele Bullock,Kevin Spacey,1
938,Michele Bullock,Kristine Mccartney,1
939,Michele Bullock,Luci Ellis,1
940,Michele Bullock,Lukas Coch,13
941,Michele Bullock,Mark Humphrey-Jenner,10
942,Michele Bullock,Martin Ollman,6
943,Michele Bullock,Martin Ollman Deputy,4
944,Michele Bullock,Michelle Bullock,1
945,Michele Bullock,Nick Mckim,5
946,Michele Bullock,Nicki Connolly,4
947,Michele Bullock,Nicola Forrest,1
948,Michele Bullock,Penny Wong,1
949,Michele Bullock,Peter Costello,1
950,Michele Bullock,Peter Dutton,10
951,Michele Bullock,Peter King,1
952,Michele Bullock,Phil Lowe,99
953,Michele Bullock,Philip Lowe,117
954,Michele Bullock,Richard Marles,4
955,Michele Bullock,Robert Macfarlane,1
956,Michele Bullock,Russell Lea,1
957,Michele Bullock,Sally Mcmanus,1
958,Michele Bullock,Sarah Basford Canales,12
959,Michele Bullock,Stephen Kennedy,1
960,Michele Bullock,Steven Hamilton,11
961,Michele Bullock,Steven Kennedy,22
962,Michele Bullock,Wang Yi,1
963,Michelle Bullock,Adam Boyton,1
964,Michelle Bullock,Andrew Bragg,1
965,Michelle Bullock,Andrew Forrest,1
966,Michelle Bullock,Anthony Albanese,2
967,Michelle Bullock,Barack Obama,1
968,Michelle Bullock,Bernie Fraser,1
969,Michelle Bullock,Bob Johnston,1
970,Michelle Bullock,Dame Quentin Bryce,1
971,Michelle Bullock,Gail Kelly,1
972,Michelle Bullock,Glenn Stevens,1
973,Michelle Bullock,Harry Knight,1
974,Michelle Bullock,Ian Macfarlane,1
975,Michelle Bullock,Janet Yellen,1
976,Michelle Bullock,Jenny Wilkinson,1
977,Michelle Bullock,Jim Chalmers,1
978,Michelle Bullock,Jock Phillips,1
979,Michelle Bullock,Josh Frydenberg,1
980,Michelle Bullock,Julia Gillard,1
981,Michelle Bullock,Justice Susan Kiefel,1
982,Michelle Bullock,Luci Ellis,1
983,Michelle Bullock,Nick Mckim,1
984,Michelle Bullock,Peter Costello,1
985,Michelle Bullock,Peter Dutton,1
986,Michelle Bullock,Steven Kennedy,1
987,Nick Mckim,Adam Boyton,1
988,Nick Mckim,Angus Taylor,4
989,Nick Mckim,Bob Johnston,1
990,Nick Mckim,Dame Quentin Bryce,1
991,Nick Mckim,Gail Kelly,1
992,Nick Mckim,Glenn Stevens,1
993,Nick Mckim,Harry Knight,1
994,Nick Mckim,Ian Macfarlane,1
995,Nick Mckim,Jenny Wilkinson,4
996,Nick Mckim,Jock Phillips,1
997,Nick Mckim,Julia Gillard,1
998,Nick Mckim,Justice Susan Kiefel,1
999,Nick Mckim,Karl Stefanovic,4
1000,Nick Mckim,Luci Ellis,1
1001,Nick Mckim,Martin Ollman Deputy,4
1002,Nick Mckim,Nicki Connolly,4
1003,Nick Mckim,Peter Costello,1
1004,Nick Mckim,Peter Dutton,5
1005,Nick Mckim,Phil Lowe,4
1006,Nick Mckim,Richard Marles,4
1007,Nick Mckim,Steven Kennedy,4
1008,Nicki Connolly,Angus Taylor,4
1009,Nicki Connolly,Karl Stefanovic,4
1010,Nicki Connolly,Martin Ollman Deputy,4
1011,Nicki Connolly,Richard Marles,4
1012,Noordin Sopiee,Evelyn Goh,1
1013,Noordin Sopiee,Khong Yuen Foong,1
1014,Noordin Sopiee,Ralph Cossa,1
1015,Noordin Sopiee,Rizal Sukma,1
1016,Oxfam Pacific,Ralph Regenvanu,1
1017,Oxfam Pacific,Scott Morrison,1
1018,Patsy Widakuswara,America Atlantic,1
1019,Patsy Widakuswara,America Pacific,1
1020,Patsy Widakuswara,Anthony Albanese,1
1021,Patsy Widakuswara,Chris Hipkins,1
1022,Patsy Widakuswara,Fumio Kishida,1
1023,Patsy Widakuswara,Jens Stoltenberg,1
1024,Patsy Widakuswara,Joe Biden,1
1025,Patsy Widakuswara,Julianne Smith,1
1026,Patsy Widakuswara,Mark Kennedy,1
1027,Patsy Widakuswara,Wang Wenbin,1
1028,Patsy Widakuswara,Yoon Suk Yeol,1
1029,Paul Evans,Evelyn Goh,1
1030,Paul Evans,Khong Yuen Foong,1
1031,Paul Evans,Noordin Sopiee,1
1032,Paul Evans,Ralph Cossa,1
1033,Paul Evans,Rizal Sukma,1
1034,Paulius Peleckis Getty,Huw Edwards,1
1035,Penny Wong,Andrew Hastie,1
1036,Penny Wong,Anthony Albanese,22
1037,Penny Wong,Cheng Lei,12
1038,Penny Wong,Hong Kong Wong,9
1039,Penny Wong,Kevin Spacey,1
1040,Penny Wong,Kira Rudik,1
1041,Penny Wong,Kristine Mccartney,1
1042,Penny Wong,Manasseh Sogavare,9
1043,Penny Wong,Vasyl Myroshnychenko,1
1044,Penny Wong,Volodomyr Zelenskiy,1
1045,Penny Wong,Wang Yi,21
1046,Penny Wong,Yang Hengjun,12
1047,Peter Costello,Adam Boyton,1
1048,Peter Costello,Bob Johnston,1
1049,Peter Costello,Dame Quentin Bryce,1
1050,Peter Costello,Gail Kelly,1
1051,Peter Costello,Glenn Stevens,1
1052,Peter Costello,Harry Knight,1
1053,Peter Costello,Ian Macfarlane,1
1054,Peter Costello,Jock Phillips,1
1055,Peter Costello,Julia Gillard,1
1056,Peter Costello,Justice Susan Kiefel,1
1057,Peter Costello,Luci Ellis,1
1058,Peter Dutton,Adam Boyton,1
1059,Peter Dutton,Alan Tudge,2
1060,Peter Dutton,Alex Hawke,2
1061,Peter Dutton,Andrew Hirst,2
1062,Peter Dutton,Andrew Whitecross,48
1063,Peter Dutton,Angus Taylor,9
1064,Peter Dutton,Anthony Albanese,3
1065,Peter Dutton,Bob Johnston,1
1066,Peter Dutton,Bob Katter,1
1067,Peter Dutton,Cameron Caldwell,2
1068,Peter Dutton,Catherine Holmes,48
1069,Peter Dutton,Chris Bowen,1
1070,Peter Dutton,Dame Quentin Bryce,1
1071,Peter Dutton,Danielle Wood,1
1072,Peter Dutton,David Gruen,4
1073,Peter Dutton,David Hurley,1
1074,Peter Dutton,Gail Kelly,1
1075,Peter Dutton,Gary Ramage,4
1076,Peter Dutton,Glenn Stevens,1
1077,Peter Dutton,Harry Knight,1
1078,Peter Dutton,Ian Macfarlane,1
1079,Peter Dutton,Innes Willox,1
1080,Peter Dutton,Jack Waterford,48
1081,Peter Dutton,Jane Hume,4
1082,Peter Dutton,Jason Falinski,2
1083,Peter Dutton,Jenny Wilkinson,5
1084,Peter Dutton,Jeremy Rockliff,2
1085,Peter Dutton,Jim Chalmers,1
1086,Peter Dutton,Jock Phillips,1
1087,Peter Dutton,John Olsen,2
1088,Peter Dutton,John Pesutto,2
1089,Peter Dutton,Julia Gillard,1
1090,Peter Dutton,Justice Susan Kiefel,1
1091,Peter Dutton,Karen Barlow,4
1092,Peter Dutton,Karl Stefanovic,4
1093,Peter Dutton,Keegan Carroll,4
1094,Peter Dutton,Kevin Bonham,2
1095,Peter Dutton,Luci Ellis,1
1096,Peter Dutton,Lukas Coch,4
1097,Peter Dutton,Mark Dreyfus,48
1098,Peter Dutton,Martin Ollman Deputy,4
1099,Peter Dutton,Mary Doyle,2
1100,Peter Dutton,Michele Bullock,1
1101,Peter Dutton,Nicki Connolly,4
1102,Peter Dutton,Peter Costello,1
1103,Peter Dutton,Phil Lowe,8
1104,Peter Dutton,Philip Lowe,1
1105,Peter Dutton,Reece Kershaw,48
1106,Peter Dutton,Richard Marles,4
1107,Peter Dutton,Sarah Basford Canales,4
1108,Peter Dutton,Scott Morrison,2
1109,Peter Dutton,Steven Hamilton,1
1110,Peter Dutton,Steven Kennedy,5
1111,Peter Dutton,Thomas Mcilroy,1
1112,Peter Dutton,Virginia Bell,1
1113,Peter King,Andrew Forrest,1
1114,Petr Fiala,Anthony Albanese,1
1115,Petr Fiala,Ben Wallace,1
1116,Petr Fiala,Edi Rama,1
1117,Petr Fiala,James Cleverly,1
1118,Petr Fiala,Yoon Suk Yeol,1
1119,Phil Lowe,Andrew Forrest,1
1120,Phil Lowe,Andrew Leigh,82
1121,Phil Lowe,Angus Taylor,8
1122,Phil Lowe,Anthony Albanese,1
1123,Phil Lowe,Damian Shaw,1
1124,Phil Lowe,Gary Ramage,4
1125,Phil Lowe,Isaac Gross,81
1126,Phil Lowe,Jane Hume,4
1127,Phil Lowe,Jim Chalmers,1
1128,Phil Lowe,Karen Barlow,12
1129,Phil Lowe,Karl Stefanovic,4
1130,Phil Lowe,Keegan Carroll,4
1131,Phil Lowe,Martin Ollman,1
1132,Phil Lowe,Martin Ollman Deputy,4
1133,Phil Lowe,Nicki Connolly,4
1134,Phil Lowe,Nicola Forrest,1
1135,Phil Lowe,Richard Marles,4
1136,Phil Lowe,Sarah Basford Canales,12
1137,Philip Benwell,Chris Minns,1
1138,Philip Benwell,Jim Chalmers,1
1139,Philip Benwell,King Charles,1
1140,Philip Benwell,Queen Elizabeth,1
1141,Philip Lowe,Adam Boyton,1
1142,Philip Lowe,Andrew Bragg,1
1143,Philip Lowe,Andrew Forrest,2
1144,Philip Lowe,Andrew Leigh,82
1145,Philip Lowe,Angus Taylor,10
1146,Philip Lowe,Anthony Albanese,35
1147,Philip Lowe,Barack Obama,1
1148,Philip Lowe,Ben Wallace,2
1149,Philip Lowe,Bernie Fraser,2
1150,Philip Lowe,Bob Johnston,1
1151,Philip Lowe,Bob Katter,1
1152,Philip Lowe,Cassandra Goldie,1
1153,Philip Lowe,Catherine Holmes,1
1154,Philip Lowe,Chris Bowen,1
1155,Philip Lowe,Dame Quentin Bryce,1
1156,Philip Lowe,Danielle Wood,1
1157,Philip Lowe,David Crosling,4
1158,Philip Lowe,David Gruen,4
1159,Philip Lowe,Gail Kelly,1
1160,Philip Lowe,Gary Ramage,4
1161,Philip Lowe,Glenn Stevens,2
1162,Philip Lowe,Harry Knight,1
1163,Philip Lowe,Ian Macfarlane,1
1164,Philip Lowe,Innes Willox,1
1165,Philip Lowe,Isaac Gross,81
1166,Philip Lowe,Jane Hume,4
1167,Philip Lowe,Janet Yellen,1
1168,Philip Lowe,Jenny Wilkinson,23
1169,Philip Lowe,Jeremy Piper,1
1170,Philip Lowe,Jim Chalmers,22
1171,Philip Lowe,Jock Phillips,1
1172,Philip Lowe,Jonathan Kearns,2
1173,Philip Lowe,Josh Frydenberg,1
1174,Philip Lowe,Julia Gillard,1
1175,Philip Lowe,Justice Susan Kiefel,1
1176,Philip Lowe,Karen Barlow,12
1177,Philip Lowe,Karl Stefanovic,4
1178,Philip Lowe,Keegan Carroll,93
1179,Philip Lowe,Kevin Spacey,1
1180,Philip Lowe,Kristine Mccartney,1
1181,Philip Lowe,Luci Ellis,1
1182,Philip Lowe,Lukas Coch,5
1183,Philip Lowe,Mark Humphrey-Jenner,10
1184,Philip Lowe,Martin Ollman,6
1185,Philip Lowe,Martin Ollman Deputy,4
1186,Philip Lowe,Michele Bullock,8
1187,Philip Lowe,Michelle Bullock,2
1188,Philip Lowe,Nick Mckim,5
1189,Philip Lowe,Nicki Connolly,4
1190,Philip Lowe,Penny Wong,1
1191,Philip Lowe,Peter Costello,1
1192,Philip Lowe,Peter Dutton,11
1193,Philip Lowe,Peter King,1
1194,Philip Lowe,Phil Lowe,98
1195,Philip Lowe,Praveen Menon,1
1196,Philip Lowe,Richard Marles,4
1197,Philip Lowe,Robert Macfarlane,1
1198,Philip Lowe,Russell Lea,1
1199,Philip Lowe,Sarah Basford Canales,12
1200,Philip Lowe,Stephen Kennedy,1
1201,Philip Lowe,Steven Hamilton,11
1202,Philip Lowe,Steven Kennedy,22
1203,Philip Lowe,Virginia Bell,1
1204,Philip Lowe,Wang Yi,1
1205,Queen Elizabeth,Chris Minns,1
1206,Queen Elizabeth,Jim Chalmers,1
1207,Ralph Cossa,Evelyn Goh,1
1208,Ralph Cossa,Khong Yuen Foong,1
1209,Ralph Cossa,Rizal Sukma,1
1210,Ralph Regenvanu,Scott Morrison,1
1211,Reece Kershaw,Jack Waterford,48
1212,Reece Kershaw,Mark Dreyfus,48
1213,Richard Marles,Karl Stefanovic,4
1214,Richard Marles,Martin Ollman Deputy,4
1215,Roger Brennan,Andrew Hastie,1
1216,Roger Brennan,Anthony Albanese,1
1217,Roger Brennan,James Peterson,1
1218,Roger Brennan,Simon Birmingham,1
1219,Russell Lea,Adam Boyton,1
1220,Russell Lea,Andrew Bragg,1
1221,Russell Lea,Andrew Forrest,1
1222,Russell Lea,Anthony Albanese,1
1223,Russell Lea,Barack Obama,1
1224,Russell Lea,Bernie Fraser,1
1225,Russell Lea,Bob Johnston,1
1226,Russell Lea,Dame Quentin Bryce,1
1227,Russell Lea,Gail Kelly,1
1228,Russell Lea,Glenn Stevens,1
1229,Russell Lea,Harry Knight,1
1230,Russell Lea,Ian Macfarlane,1
1231,Russell Lea,Janet Yellen,1
1232,Russell Lea,Jenny Wilkinson,1
1233,Russell Lea,Jim Chalmers,1
1234,Russell Lea,Jock Phillips,1
1235,Russell Lea,Josh Frydenberg,1
1236,Russell Lea,Julia Gillard,1
1237,Russell Lea,Justice Susan Kiefel,1
1238,Russell Lea,Luci Ellis,1
1239,Russell Lea,Michelle Bullock,1
1240,Russell Lea,Nick Mckim,1
1241,Russell Lea,Peter Costello,1
1242,Russell Lea,Peter Dutton,1
1243,Russell Lea,Steven Kennedy,1
1244,Russell Webb,Barnaby Joyce,7
1245,Russell Webb,Gareth Gardner,7
1246,Sagat Singh,Anthony Albanese,1
1247,Sagat Singh,Chaminda Vaas,1
1248,Sagat Singh,Jens Stoltenberg,1
1249,Sally Mcmanus,Angus Taylor,1
1250,Sally Mcmanus,Anthony Albanese,1
1251,Sally Mcmanus,Cassandra Goldie,1
1252,Sally Mcmanus,Danielle Wood,1
1253,Sally Mcmanus,Innes Willox,1
1254,Sally Mcmanus,Jenny Wilkinson,1
1255,Sally Mcmanus,Peter Dutton,1
1256,Sally Mcmanus,Philip Lowe,1
1257,Sally Mcmanus,Steven Hamilton,1
1258,Sally Mcmanus,Steven Kennedy,1
1259,Sam Altman,Anthony Albanese,1
1260,Sam Altman,Ed Husic,1
1261,Sarah Basford Canales,Karen Barlow,12
1262,Scott Morrison,Andrew Hirst,2
1263,Scott Morrison,Bob Katter,1
1264,Scott Morrison,Catherine Holmes,1
1265,Scott Morrison,Jason Falinski,2
1266,Scott Morrison,Jeremy Piper,1
1267,Scott Morrison,Jeremy Rockliff,2
1268,Scott Morrison,John Olsen,2
1269,Scott Morrison,John Pesutto,2
1270,Scott Morrison,Josh Frydenberg,1
1271,Scott Morrison,Martin Ollman,2
1272,Scott Morrison,Peter Dutton,1
1273,Scott Morrison,Philip Lowe,1
1274,Scott Morrison,Tim Loh,1
1275,Scott Morrison,Virginia Bell,1
1276,Simon Birmingham,Andrew Hastie,1
1277,Simon Birmingham,Anthony Albanese,1
1278,Simon Birmingham,James Peterson,1
1279,Stella Qiu,Anthony Albanese,1
1280,Stella Qiu,Jim Chalmers,1
1281,Stella Qiu,Jonathan Kearns,1
1282,Stella Qiu,Philip Lowe,1
1283,Stella Qiu,Praveen Menon,1
1284,Stella Qiu,Wayne Cole,1
1285,Stephen Kennedy,Jenny Wilkinson,1
1286,Steve Smith,Ben Stokes,1
1287,Steve Smith,Cameron Bancroft,1
1288,Steve Smith,David Warner,1
1289,Steve Smith,Shah Rukh Khan,1
1290,Steven Hamilton,Danielle Wood,1
1291,Steven Kennedy,Adam Boyton,1
1292,Steven Kennedy,Andrew Bragg,1
1293,Steven Kennedy,Angus Taylor,10
1294,Steven Kennedy,Anthony Albanese,2
1295,Steven Kennedy,Bob Johnston,1
1296,Steven Kennedy,Chris Bowen,1
1297,Steven Kennedy,Dame Quentin Bryce,1
1298,Steven Kennedy,Danielle Wood,1
1299,Steven Kennedy,David Gruen,4
1300,Steven Kennedy,Gail Kelly,1
1301,Steven Kennedy,Gary Ramage,4
1302,Steven Kennedy,Glenn Stevens,1
1303,Steven Kennedy,Harry Knight,1
1304,Steven Kennedy,Ian Macfarlane,1
1305,Steven Kennedy,Innes Willox,1
1306,Steven Kennedy,Jane Hume,4
1307,Steven Kennedy,Jenny Wilkinson,18
1308,Steven Kennedy,Jim Chalmers,11
1309,Steven Kennedy,Jock Phillips,1
1310,Steven Kennedy,Julia Gillard,1
1311,Steven Kennedy,Justice Susan Kiefel,1
1312,Steven Kennedy,Karen Barlow,4
1313,Steven Kennedy,Karl Stefanovic,4
1314,Steven Kennedy,Keegan Carroll,4
1315,Steven Kennedy,Luci Ellis,1
1316,Steven Kennedy,Mark Humphrey-Jenner,10
1317,Steven Kennedy,Martin Ollman Deputy,4
1318,Steven Kennedy,Michele Bullock,1
1319,Steven Kennedy,Nick Mckim,1
1320,Steven Kennedy,Nicki Connolly,4
1321,Steven Kennedy,Peter Costello,1
1322,Steven Kennedy,Peter Dutton,6
1323,Steven Kennedy,Phil Lowe,8
1324,Steven Kennedy,Richard Marles,4
1325,Steven Kennedy,Sarah Basford Canales,4
1326,Steven Kennedy,Steven Hamilton,11
1327,Stuart Robert,Alan Tudge,2
1328,Stuart Robert,Alex Hawke,2
1329,Stuart Robert,Andrew Hirst,2
1330,Stuart Robert,Anthony Albanese,3
1331,Stuart Robert,Cameron Caldwell,2
1332,Stuart Robert,Jason Falinski,2
1333,Stuart Robert,Jeremy Rockliff,2
1334,Stuart Robert,John Olsen,2
1335,Stuart Robert,John Pesutto,2
1336,Stuart Robert,Kevin Bonham,2
1337,Stuart Robert,Mary Doyle,2
1338,Stuart Robert,Peter Dutton,3
1339,Stuart Robert,Scott Morrison,2
1340,Stuart Robert,Thomas Mcilroy,1
1341,Tanya Plibersek,Anthony Albanese,4
1342,Tanya Plibersek,Chuen Cheng,4
1343,Tanya Plibersek,Deborah Bateson,4
1344,Tayyip Erdogan,Anthony Albanese,1
1345,Tayyip Erdogan,Chris Hipkins,1
1346,Tayyip Erdogan,Fumio Kishida,1
1347,Ted Hui,Anna Kwok,1
1348,Ted Hui,Anthony Albanese,1
1349,Ted Hui,Brendan Clift,1
1350,Ted Hui,Dennis Kwok,1
1351,Ted Hui,Finn Lau,1
1352,Ted Hui,Hong Konger,1
1353,Ted Hui,John Lee,1
1354,Vasyl Myroshnychenko,Andrew Hastie,4
1355,Vasyl Myroshnychenko,Anthony Albanese,4
1356,Vasyl Myroshnychenko,Joe Biden,3
1357,Vasyl Myroshnychenko,Justin Trudeau,3
1358,Vasyl Myroshnychenko,Kira Rudik,4
1359,Vasyl Myroshnychenko,Volodomyr Zelenskiy,4
1360,Viktor Shvets,Adam Boyton,1
1361,Viktor Shvets,Anthony Albanese,1
1362,Viktor Shvets,Michele Bullock,1
1363,Viktor Shvets,Philip Lowe,1
1364,Virginia Bell,Bob Katter,1
1365,Vivian Balakrishnan,Ali Alatas,1
1366,Vivian Balakrishnan,Asia Pacific,1
1367,Vivian Balakrishnan,Evelyn Goh,1
1368,Vivian Balakrishnan,Hasjim Djalal,1
1369,Vivian Balakrishnan,Khong Yuen Foong,1
1370,Vivian Balakrishnan,Michael Leifer,1
1371,Vivian Balakrishnan,Noordin Sopiee,1
1372,Vivian Balakrishnan,Paul Evans,1
1373,Vivian Balakrishnan,Ralph Cossa,1
1374,Vivian Balakrishnan,Rizal Sukma,1
1375,Vladimir Putin,Anthony Albanese,1
1376,Vladimir Putin,Ben Wallace,1
1377,Vladimir Putin,Edi Rama,1
1378,Vladimir Putin,James Cleverly,1
1379,Vladimir Putin,Petr Fiala,1
1380,Vladimir Putin,Yoon Suk Yeol,1
1381,Volodomyr Zelenskiy,Andrew Hastie,4
1382,Volodomyr Zelenskiy,Joe Biden,3
1383,Volodomyr Zelenskiy,Justin Trudeau,3
1384,Volodomyr Zelenskiy,Kira Rudik,4
1385,Volodymr Zelensky,Anthony Albanese,1
1386,Volodymr Zelensky,Ben Wallace,1
1387,Volodymr Zelensky,Chris Woakes,1
1388,Volodymr Zelensky,Huw Edwards,1
1389,Volodymr Zelensky,Joe Biden,1
1390,Volodymr Zelensky,Jonny Bairstow,1
1391,Volodymr Zelensky,Mark Wood,1
1392,Volodymr Zelensky,Paulius Peleckis Getty,1
1393,Volodymyr Zelenskiy,Andrew Hastie,3
1394,Volodymyr Zelenskiy,Anthony Albanese,3
1395,Volodymyr Zelenskiy,Joe Biden,3
1396,Volodymyr Zelenskiy,Justin Trudeau,3
1397,Volodymyr Zelenskiy,Kira Rudik,3
1398,Volodymyr Zelenskiy,Vasyl Myroshnychenko,3
1399,Volodymyr Zelenskiy,Volodomyr Zelenskiy,3
1400,Volodymyr Zelensky,Anthony Albanese,2
1401,Volodymyr Zelensky,Chaminda Vaas,1
1402,Volodymyr Zelensky,Chris Hipkins,1
1403,Volodymyr Zelensky,Fumio Kishida,1
1404,Volodymyr Zelensky,Jens Stoltenberg,1
1405,Volodymyr Zelensky,Sagat Singh,1
1406,Volodymyr Zelensky,Tayyip Erdogan,1
1407,Volodymyr Zelenskyy,Anthony Albanese,1
1408,Volodymyr Zelenskyy,Julie Collins,1
1409,Wang Wenbin,Celia Mendoza,2
1410,Wang Wenbin,Jorge Agobian,2
1411,Wang Yi,Anthony Albanese,21
1412,Wang Yi,Cheng Lei,12
1413,Wang Yi,Hong Kong Wong,9
1414,Wang Yi,Kevin Spacey,1
1415,Wang Yi,Kristine Mccartney,1
1416,Wang Yi,Manasseh Sogavare,9
1417,Wang Yi,Penny Wong,1
1418,Wang Yi,Yang Hengjun,12
1419,Wayne Cole,Anthony Albanese,1
1420,Wayne Cole,Jim Chalmers,1
1421,Wayne Cole,Jonathan Kearns,1
1422,Wayne Cole,Philip Lowe,1
1423,Wayne Cole,Praveen Menon,1
1424,Xinhua Michele Bullock,Anthony Albanese,1
1425,Xinhua Michele Bullock,Jim Chalmers,1
1426,Xinhua Michele Bullock,Philip Lowe,1
1427,Yang Hengjun,Anthony Albanese,12
1428,Yang Hengjun,Cheng Lei,9
1429,Yang Hengjun,Hong Kong Wong,9
1430,Yang Hengjun,Ted Hui,1
1431,Yoon Suk Yeol,Anthony Albanese,1
1432,Yoon Suk Yeol,Celia Mendoza,2
1433,Yoon Suk Yeol,Jorge Agobian,2
1434,Yoon Suk Yeol,Wang Wenbin,3
