Source,Target,count,weight
Andrew Hirst,Jeremy Rockliff,2,0.017094017094017096
Andrew Hirst,John Pesutto,2,0.017094017094017096
Andrew Leigh,Isaac Gross,81,0.6923076923076923
Andrew Whitecross,Catherine Holmes,48,0.41025641025641024
Andrew Whitecross,David Hurley,1,0.008547008547008548
Andrew Whitecross,Jack Waterford,48,0.41025641025641024
Andrew Whitecross,Mark Dreyfus,48,0.41025641025641024
Andrew Whitecross,Reece Kershaw,48,0.41025641025641024
Angus King,Anthony Albanese,1,0.008547008547008548
Angus King,Ben Wallace,1,0.008547008547008548
Angus King,Edi Rama,1,0.008547008547008548
Angus King,James Cleverly,1,0.008547008547008548
Angus King,Petr Fiala,1,0.008547008547008548
Angus King,Vladimir Putin,1,0.008547008547008548
Angus King,Yoon Suk Yeol,1,0.008547008547008548
Angus Taylor,Chris Bowen,1,0.008547008547008548
Angus Taylor,Danielle Wood,1,0.008547008547008548
Angus Taylor,Gary Ramage,4,0.03418803418803419
Angus Taylor,Innes Willox,1,0.008547008547008548
Angus Taylor,Karen Barlow,4,0.03418803418803419
Angus Taylor,Karl Stefanovic,4,0.03418803418803419
Angus Taylor,Martin Ollman Deputy,4,0.03418803418803419
Angus Taylor,Peter Dutton,1,0.008547008547008548
Angus Taylor,Richard Marles,4,0.03418803418803419
Angus Taylor,Sarah Basford Canales,4,0.03418803418803419
Angus Taylor,Steven Hamilton,1,0.008547008547008548
Anna Kwok,Anthony Albanese,1,0.008547008547008548
Anna Kwok,Brendan Clift,1,0.008547008547008548
Anna Kwok,Dennis Kwok,1,0.008547008547008548
Anna Kwok,Finn Lau,1,0.008547008547008548
Anna Kwok,Hong Konger,1,0.008547008547008548
Anna Kwok,John Lee,1,0.008547008547008548
Anthony Albanese,Adam Boyton,1,0.008547008547008548
Anthony Albanese,Alex Carey,1,0.008547008547008548
Anthony Albanese,Alex Hawke,2,0.017094017094017096
Anthony Albanese,Ali Alatas,1,0.008547008547008548
Anthony Albanese,Andrew Bragg,1,0.008547008547008548
Anthony Albanese,Andrew Forrest,3,0.02564102564102564
Anthony Albanese,Andrew Hastie,4,0.03418803418803419
Anthony Albanese,Andrew Hirst,2,0.017094017094017096
Anthony Albanese,Andrew Leigh,82,0.7008547008547008
Anthony Albanese,Andrew Whitecross,48,0.41025641025641024
Anthony Albanese,Angus Taylor,10,0.08547008547008547
Anthony Albanese,Asia Pacific,1,0.008547008547008548
Anthony Albanese,Barack Obama,1,0.008547008547008548
Anthony Albanese,Barnaby Joyce,7,0.05982905982905983
Anthony Albanese,Barney Glover,1,0.008547008547008548
Anthony Albanese,Ben Stokes,1,0.008547008547008548
Anthony Albanese,Ben Wallace,3,0.02564102564102564
Anthony Albanese,Bernie Fraser,1,0.008547008547008548
Anthony Albanese,Bob Hawke,1,0.008547008547008548
Anthony Albanese,Bob Johnston,1,0.008547008547008548
Anthony Albanese,Bob Katter,1,0.008547008547008548
Anthony Albanese,Brendan Clift,1,0.008547008547008548
Anthony Albanese,Cameron Bancroft,1,0.008547008547008548
Anthony Albanese,Catherine Holmes,49,0.4188034188034188
Anthony Albanese,Celia Mendoza,2,0.017094017094017096
Anthony Albanese,Chris Bowen,1,0.008547008547008548
Anthony Albanese,Chris Hipkins,4,0.03418803418803419
Anthony Albanese,Chris Minns,1,0.008547008547008548
Anthony Albanese,Chris Woakes,1,0.008547008547008548
Anthony Albanese,Christian Porter,48,0.41025641025641024
Anthony Albanese,Chuen Cheng,4,0.03418803418803419
Anthony Albanese,Dame Quentin Bryce,1,0.008547008547008548
Anthony Albanese,Damian Shaw,1,0.008547008547008548
Anthony Albanese,Danielle Wood,1,0.008547008547008548
Anthony Albanese,David Crosling,4,0.03418803418803419
Anthony Albanese,David Gruen,4,0.03418803418803419
Anthony Albanese,David Hurley,1,0.008547008547008548
Anthony Albanese,David Warner,1,0.008547008547008548
Anthony Albanese,Deborah Bateson,4,0.03418803418803419
Anthony Albanese,Ed Husic,1,0.008547008547008548
Anthony Albanese,Evelyn Goh,1,0.008547008547008548
Anthony Albanese,Fumio Kishida,4,0.03418803418803419
Anthony Albanese,Gail Kelly,1,0.008547008547008548
Anthony Albanese,Gareth Gardner,7,0.05982905982905983
Anthony Albanese,Gary Ramage,52,0.4444444444444444
Anthony Albanese,Glenn Stevens,2,0.017094017094017096
Anthony Albanese,Gough Whitlam,2,0.017094017094017096
Anthony Albanese,Han Xiao Zhang,1,0.008547008547008548
Anthony Albanese,Harry Knight,1,0.008547008547008548
Anthony Albanese,Hasjim Djalal,1,0.008547008547008548
Anthony Albanese,Hong Konger,1,0.008547008547008548
Anthony Albanese,Huw Edwards,1,0.008547008547008548
Anthony Albanese,Ian Macfarlane,1,0.008547008547008548
Anthony Albanese,Innes Willox,1,0.008547008547008548
Anthony Albanese,Isaac Gross,81,0.6923076923076923
Anthony Albanese,Jack Waterford,48,0.41025641025641024
Anthony Albanese,Jane Hume,4,0.03418803418803419
Anthony Albanese,Janet Yellen,1,0.008547008547008548
Anthony Albanese,Jason Falinski,2,0.017094017094017096
Anthony Albanese,Jennifer Westacott,1,0.008547008547008548
Anthony Albanese,Jenny Wilkinson,22,0.18803418803418803
Anthony Albanese,Jeremy Piper,1,0.008547008547008548
Anthony Albanese,Jeremy Rockliff,2,0.017094017094017096
Anthony Albanese,Jim Chalmers,26,0.2222222222222222
Anthony Albanese,Jock Phillips,1,0.008547008547008548
Anthony Albanese,Joe Biden,4,0.03418803418803419
Anthony Albanese,John Lee,1,0.008547008547008548
Anthony Albanese,John Molony,1,0.008547008547008548
Anthony Albanese,John Olsen,2,0.017094017094017096
Anthony Albanese,John Pesutto,2,0.017094017094017096
Anthony Albanese,Joko Widodo,1,0.008547008547008548
Anthony Albanese,Jonathan Kearns,2,0.017094017094017096
Anthony Albanese,Jonny Bairstow,6,0.05128205128205128
Anthony Albanese,Jorge Agobian,2,0.017094017094017096
Anthony Albanese,Josh Frydenberg,2,0.017094017094017096
Anthony Albanese,Julia Gillard,1,0.008547008547008548
Anthony Albanese,Julie Collins,1,0.008547008547008548
Anthony Albanese,Justice Susan Kiefel,1,0.008547008547008548
Anthony Albanese,Justin Trudeau,3,0.02564102564102564
Anthony Albanese,Karen Barlow,12,0.10256410256410256
Anthony Albanese,Karl Stefanovic,4,0.03418803418803419
Anthony Albanese,Keegan Carroll,85,0.7264957264957265
Anthony Albanese,Kevin Bonham,2,0.017094017094017096
Anthony Albanese,Kevin Spacey,1,0.008547008547008548
Anthony Albanese,Khong Yuen Foong,1,0.008547008547008548
Anthony Albanese,King Charles,1,0.008547008547008548
Anthony Albanese,Kira Rudik,4,0.03418803418803419
Anthony Albanese,Kristine Mccartney,1,0.008547008547008548
Anthony Albanese,Lee Asia,1,0.008547008547008548
Anthony Albanese,Luci Ellis,1,0.008547008547008548
Anthony Albanese,Lukas Coch,5,0.042735042735042736
Anthony Albanese,Mark Dreyfus,48,0.41025641025641024
Anthony Albanese,Mark Humphrey-Jenner,10,0.08547008547008547
Anthony Albanese,Mark Wood,2,0.017094017094017096
Anthony Albanese,Martin Ollman,8,0.06837606837606838
Anthony Albanese,Martin Ollman Deputy,4,0.03418803418803419
Anthony Albanese,Michael Leifer,1,0.008547008547008548
Anthony Albanese,Michele Bullock,11,0.09401709401709402
Anthony Albanese,Nick Mckim,5,0.042735042735042736
Anthony Albanese,Nicki Connolly,4,0.03418803418803419
Anthony Albanese,Nicola Forrest,1,0.008547008547008548
Anthony Albanese,Noordin Sopiee,1,0.008547008547008548
Anthony Albanese,Oxfam Pacific,1,0.008547008547008548
Anthony Albanese,Paul Evans,1,0.008547008547008548
Anthony Albanese,Paulius Peleckis Getty,1,0.008547008547008548
Anthony Albanese,Penny Wong,1,0.008547008547008548
Anthony Albanese,Peter Costello,1,0.008547008547008548
Anthony Albanese,Peter Dutton,60,0.5128205128205128
Anthony Albanese,Peter King,1,0.008547008547008548
Anthony Albanese,Phil Lowe,98,0.8376068376068376
Anthony Albanese,Philip Benwell,1,0.008547008547008548
Anthony Albanese,Philip Lowe,96,0.8205128205128205
Anthony Albanese,Praveen Menon,1,0.008547008547008548
Anthony Albanese,Queen Elizabeth,1,0.008547008547008548
Anthony Albanese,Ralph Cossa,1,0.008547008547008548
Anthony Albanese,Ralph Regenvanu,1,0.008547008547008548
Anthony Albanese,Reece Kershaw,48,0.41025641025641024
Anthony Albanese,Richard Marles,4,0.03418803418803419
Anthony Albanese,Rizal Sukma,1,0.008547008547008548
Anthony Albanese,Robert Macfarlane,1,0.008547008547008548
Anthony Albanese,Russell Webb,7,0.05982905982905983
Anthony Albanese,Sarah Basford Canales,12,0.10256410256410256
Anthony Albanese,Scott Morrison,5,0.042735042735042736
Anthony Albanese,Shah Rukh Khan,1,0.008547008547008548
Anthony Albanese,Stephen Kennedy,1,0.008547008547008548
Anthony Albanese,Steve Smith,1,0.008547008547008548
Anthony Albanese,Steven Hamilton,11,0.09401709401709402
Anthony Albanese,Steven Kennedy,21,0.1794871794871795
Anthony Albanese,Ted Hui,1,0.008547008547008548
Anthony Albanese,Thomas Mcilroy,1,0.008547008547008548
Anthony Albanese,Tim Loh,1,0.008547008547008548
Anthony Albanese,Tony Mahar,1,0.008547008547008548
Anthony Albanese,Virginia Bell,1,0.008547008547008548
Anthony Albanese,Vivian Balakrishnan,1,0.008547008547008548
Anthony Albanese,Volodomyr Zelenskiy,4,0.03418803418803419
Anthony Albanese,Volodymyr Zelenskyy,1,0.008547008547008548
Anthony Albanese,Wang Wenbin,3,0.02564102564102564
Anthony Albanese,Wang Yi,1,0.008547008547008548
Anthony Albanese,Yang Hengjun,1,0.008547008547008548
Anthony Albanese,Yoon Suk Yeol,3,0.02564102564102564
Asia Pacific,Ali Alatas,1,0.008547008547008548
Asia Pacific,Evelyn Goh,1,0.008547008547008548
Asia Pacific,Hasjim Djalal,1,0.008547008547008548
Asia Pacific,Khong Yuen Foong,1,0.008547008547008548
Asia Pacific,Michael Leifer,1,0.008547008547008548
Asia Pacific,Noordin Sopiee,1,0.008547008547008548
Asia Pacific,Paul Evans,1,0.008547008547008548
Asia Pacific,Ralph Cossa,1,0.008547008547008548
Asia Pacific,Rizal Sukma,1,0.008547008547008548
Barack Obama,Adam Boyton,1,0.008547008547008548
Barack Obama,Andrew Bragg,1,0.008547008547008548
Barack Obama,Bob Johnston,1,0.008547008547008548
Barack Obama,Dame Quentin Bryce,1,0.008547008547008548
Barack Obama,Gail Kelly,1,0.008547008547008548
Barack Obama,Glenn Stevens,1,0.008547008547008548
Barack Obama,Harry Knight,1,0.008547008547008548
Barack Obama,Ian Macfarlane,1,0.008547008547008548
Barack Obama,Jenny Wilkinson,1,0.008547008547008548
Barack Obama,Jock Phillips,1,0.008547008547008548
Barack Obama,Josh Frydenberg,1,0.008547008547008548
Barack Obama,Julia Gillard,1,0.008547008547008548
Barack Obama,Justice Susan Kiefel,1,0.008547008547008548
Barack Obama,Luci Ellis,1,0.008547008547008548
Barack Obama,Nick Mckim,1,0.008547008547008548
Barack Obama,Peter Costello,1,0.008547008547008548
Barack Obama,Peter Dutton,1,0.008547008547008548
Barack Obama,Steven Kennedy,1,0.008547008547008548
Barney Glover,John Molony,1,0.008547008547008548
Ben Stokes,Shah Rukh Khan,1,0.008547008547008548
Ben Wallace,Anthony Albanese,1,0.008547008547008548
Ben Wallace,Huw Edwards,1,0.008547008547008548
Ben Wallace,Paulius Peleckis Getty,1,0.008547008547008548
Ben Wallace,Yoon Suk Yeol,1,0.008547008547008548
Bernie Fraser,Adam Boyton,1,0.008547008547008548
Bernie Fraser,Andrew Bragg,1,0.008547008547008548
Bernie Fraser,Andrew Forrest,2,0.017094017094017096
Bernie Fraser,Anthony Albanese,1,0.008547008547008548
Bernie Fraser,Barack Obama,1,0.008547008547008548
Bernie Fraser,Bob Johnston,1,0.008547008547008548
Bernie Fraser,Dame Quentin Bryce,1,0.008547008547008548
Bernie Fraser,Gail Kelly,1,0.008547008547008548
Bernie Fraser,Glenn Stevens,1,0.008547008547008548
Bernie Fraser,Harry Knight,1,0.008547008547008548
Bernie Fraser,Ian Macfarlane,1,0.008547008547008548
Bernie Fraser,Janet Yellen,1,0.008547008547008548
Bernie Fraser,Jenny Wilkinson,1,0.008547008547008548
Bernie Fraser,Jock Phillips,1,0.008547008547008548
Bernie Fraser,Josh Frydenberg,1,0.008547008547008548
Bernie Fraser,Julia Gillard,1,0.008547008547008548
Bernie Fraser,Justice Susan Kiefel,1,0.008547008547008548
Bernie Fraser,Luci Ellis,1,0.008547008547008548
Bernie Fraser,Nick Mckim,1,0.008547008547008548
Bernie Fraser,Peter Costello,1,0.008547008547008548
Bernie Fraser,Peter Dutton,1,0.008547008547008548
Bernie Fraser,Peter King,1,0.008547008547008548
Bernie Fraser,Steven Kennedy,1,0.008547008547008548
Bob Hawke,Andrew Whitecross,48,0.41025641025641024
Bob Hawke,Anthony Albanese,47,0.4017094017094017
Bob Hawke,Catherine Holmes,48,0.41025641025641024
Bob Hawke,Christian Porter,48,0.41025641025641024
Bob Hawke,David Hurley,1,0.008547008547008548
Bob Hawke,Gary Ramage,48,0.41025641025641024
Bob Hawke,Jack Waterford,48,0.41025641025641024
Bob Hawke,Mark Dreyfus,48,0.41025641025641024
Bob Hawke,Peter Dutton,48,0.41025641025641024
Bob Hawke,Reece Kershaw,48,0.41025641025641024
Bob Johnston,Adam Boyton,1,0.008547008547008548
Bob Johnston,Dame Quentin Bryce,1,0.008547008547008548
Bob Johnston,Gail Kelly,1,0.008547008547008548
Bob Johnston,Harry Knight,1,0.008547008547008548
Bob Johnston,Jock Phillips,1,0.008547008547008548
Bob Johnston,Julia Gillard,1,0.008547008547008548
Bob Johnston,Justice Susan Kiefel,1,0.008547008547008548
Bob Johnston,Luci Ellis,1,0.008547008547008548
Cameron Bancroft,Ben Stokes,1,0.008547008547008548
Cameron Bancroft,Shah Rukh Khan,1,0.008547008547008548
Cameron Caldwell,Alex Hawke,2,0.017094017094017096
Cameron Caldwell,Andrew Hirst,2,0.017094017094017096
Cameron Caldwell,Anthony Albanese,2,0.017094017094017096
Cameron Caldwell,Jason Falinski,2,0.017094017094017096
Cameron Caldwell,Jeremy Rockliff,2,0.017094017094017096
Cameron Caldwell,John Olsen,2,0.017094017094017096
Cameron Caldwell,John Pesutto,2,0.017094017094017096
Cameron Caldwell,Kevin Bonham,2,0.017094017094017096
Cameron Caldwell,Mary Doyle,2,0.017094017094017096
Cameron Caldwell,Scott Morrison,2,0.017094017094017096
Cassandra Goldie,Angus Taylor,1,0.008547008547008548
Cassandra Goldie,Anthony Albanese,1,0.008547008547008548
Cassandra Goldie,Danielle Wood,1,0.008547008547008548
Cassandra Goldie,Innes Willox,1,0.008547008547008548
Cassandra Goldie,Jenny Wilkinson,1,0.008547008547008548
Cassandra Goldie,Peter Dutton,1,0.008547008547008548
Cassandra Goldie,Steven Hamilton,1,0.008547008547008548
Cassandra Goldie,Steven Kennedy,1,0.008547008547008548
Catherine Holmes,Bob Katter,1,0.008547008547008548
Catherine Holmes,David Hurley,1,0.008547008547008548
Catherine Holmes,Jack Waterford,48,0.41025641025641024
Catherine Holmes,Mark Dreyfus,48,0.41025641025641024
Catherine Holmes,Peter Dutton,1,0.008547008547008548
Catherine Holmes,Reece Kershaw,48,0.41025641025641024
Catherine Holmes,Virginia Bell,1,0.008547008547008548
Celia Mendoza,Jorge Agobian,2,0.017094017094017096
Chaminda Vaas,Anthony Albanese,1,0.008547008547008548
Chaminda Vaas,Jens Stoltenberg,1,0.008547008547008548
Chau Van Kham,Anthony Albanese,1,0.008547008547008548
Cheng Lei,Anthony Albanese,12,0.10256410256410256
Cheng Lei,Hong Kong Wong,9,0.07692307692307693
Cheng Lei,Yang Hengjun,3,0.02564102564102564
Chris Hipkins,Celia Mendoza,2,0.017094017094017096
Chris Hipkins,Jorge Agobian,2,0.017094017094017096
Chris Hipkins,Wang Wenbin,3,0.02564102564102564
Chris Hipkins,Yoon Suk Yeol,3,0.02564102564102564
Chris Woakes,Anthony Albanese,1,0.008547008547008548
Chris Woakes,Ben Stokes,1,0.008547008547008548
Chris Woakes,Ben Wallace,1,0.008547008547008548
Chris Woakes,Cameron Bancroft,1,0.008547008547008548
Chris Woakes,David Warner,1,0.008547008547008548
Chris Woakes,Huw Edwards,1,0.008547008547008548
Chris Woakes,Joe Biden,1,0.008547008547008548
Chris Woakes,Jonny Bairstow,1,0.008547008547008548
Chris Woakes,Mark Wood,2,0.017094017094017096
Chris Woakes,Paulius Peleckis Getty,1,0.008547008547008548
Chris Woakes,Shah Rukh Khan,1,0.008547008547008548
Chris Woakes,Steve Smith,1,0.008547008547008548
Christian Porter,Andrew Whitecross,48,0.41025641025641024
Christian Porter,Catherine Holmes,48,0.41025641025641024
Christian Porter,David Hurley,1,0.008547008547008548
Christian Porter,Jack Waterford,48,0.41025641025641024
Christian Porter,Mark Dreyfus,48,0.41025641025641024
Christian Porter,Peter Dutton,48,0.41025641025641024
Christian Porter,Reece Kershaw,48,0.41025641025641024
Dame Quentin Bryce,Gail Kelly,1,0.008547008547008548
Dame Quentin Bryce,Justice Susan Kiefel,1,0.008547008547008548
Damian Shaw,Andrew Forrest,1,0.008547008547008548
Damian Shaw,Nicola Forrest,1,0.008547008547008548
David Crosling,Angus Taylor,4,0.03418803418803419
David Crosling,Jenny Wilkinson,4,0.03418803418803419
David Crosling,Karl Stefanovic,4,0.03418803418803419
David Crosling,Martin Ollman Deputy,4,0.03418803418803419
David Crosling,Nick Mckim,4,0.03418803418803419
David Crosling,Nicki Connolly,4,0.03418803418803419
David Crosling,Peter Dutton,4,0.03418803418803419
David Crosling,Phil Lowe,4,0.03418803418803419
David Crosling,Richard Marles,4,0.03418803418803419
David Crosling,Steven Kennedy,4,0.03418803418803419
David Gruen,Angus Taylor,4,0.03418803418803419
David Gruen,Gary Ramage,4,0.03418803418803419
David Gruen,Jane Hume,4,0.03418803418803419
David Gruen,Karen Barlow,4,0.03418803418803419
David Gruen,Keegan Carroll,4,0.03418803418803419
David Gruen,Phil Lowe,4,0.03418803418803419
David Gruen,Sarah Basford Canales,4,0.03418803418803419
David Hurley,Jack Waterford,1,0.008547008547008548
David Hurley,Mark Dreyfus,1,0.008547008547008548
David Hurley,Reece Kershaw,1,0.008547008547008548
David Warner,Ben Stokes,1,0.008547008547008548
David Warner,Cameron Bancroft,1,0.008547008547008548
David Warner,Shah Rukh Khan,1,0.008547008547008548
Deborah Bateson,Chuen Cheng,4,0.03418803418803419
Dennis Kwok,Anthony Albanese,1,0.008547008547008548
Dennis Kwok,Brendan Clift,1,0.008547008547008548
Dennis Kwok,Hong Konger,1,0.008547008547008548
